Topic ID: D1410_TRAIN | Citance Number: 10 | Citation Text: abundant solid cervical mir-24 up-regulated mirnas cancer cancers | Reference Offset: [457-696', 5101-5216', 5602-5791'] | Reference Text: species mirna sequencing mirnas abundant rna mir-21 library mir-24 small caski subset lesions demonstrate cervical significantly mirnas cancers total clones species mirna mirnas cloned abundant mir-21 mir-24 | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1415_TRAIN | Citance Number: 16 | Citation Text: erk requirement crucial pathway development regard nsclcs related kras-driven propose repression increase capacity formation | Reference Offset: [702-775', 5249-5420', 5589-5668'] | Reference Text: erk development blocked tumor kinases erk essential development mutations tumor kinases investigate mice carrying encoding raf end mek erk individual prevent nsclcs kinases | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1428_EVAL | Citance Number: 4 | Citation Text: contrast obtained ablation importantly raf-1 established regression effectors tumors interfering ras | Reference Offset: [24981-25269', 1200-1346', 1348-1508'] | Reference Text: model ablation gtpase similarly potential tumor factor ras reduce skin carcinogenesis genetic recently tiam1 effectors small exchange rac formation signaling gtpase oncogenes oncogenic activated tumors pathways ras mutated guanine nucleotide ras phosphoinositide-3 kinases gtpases factors ral effectors raf small multiple exchange rac | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1426_EVAL | Citance Number: 17 | Citation Text: expressing cx3cr1 act soluble | Reference Offset: [26115-26290', 40200-40484', 2952-3031'] | Reference Text: surface expressing collectively leukocytes v28 subsets phenotypes fractalkine receptor mrna correlated soluble potent expressing induction chemotaxis enhanced fractalkine cx3cr1 adhesion blocked soluble chemokine lymphocytes act appears | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1423_EVAL | Citance Number: 2 | Citation Text: member bcl-2 lost additional family bcl-xl inhibit bad | Reference Offset: [19494-19702', 27315-27591', 397-552'] | Reference Text: mitochondria bcl-2 bcl-xl capacity inhibit murine endogenous wt sensitive bcl-xl display interaction bad assays antiapoptotic lysates bcl-2 bik binding bh3-only members intact bak kill mitochondria bcl-2 proapoptotic family bax require release members cytochrome | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1408_TRAIN | Citance Number: 13 | Citation Text: methods region computational genes developed thermodynamic mirna stability matches seed targetscan prediction sequence predict target approaches based duplex | Reference Offset: [6961-7319', 56839-57184', 21274-21513'] | Reference Text: identify developed conserved targetscan mirna mirnas algorithm predict sequence called multiple duplex targets interactions nt location seed line targetscan 25 structures positions represents matches sequence generated duplex mouse defined set seed conserved targetscan mirna rat algorithm predict hypothesis targets | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1414_EVAL | Citance Number: 12 | Citation Text: metastatic issue metastasis capable mirnas breast regulating extent mir-31 recently provided unresolved cancer specifically | Reference Offset: [3895-4285', 4787-4870', 818-965'] | Reference Text: proliferation development remains apoptosis metastasis tumor influences mirnas affect exert potentially extent and/or primary unclear specifically breast mir-31 metastatic lines cancer specifically breast patients mir-31 identify metastasis correlates microrna cancer | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1411_TRAIN | Citance Number: 4 | Citation Text: work system mir-223 previous regulation experimental | Reference Offset: [35958-36092', 35243-35458', 622-782'] | Reference Text: site mir-223 nfi-a target experimental mir-223 nfi-a mirna findings regulation produces activator hypothesis low transcriptional mir-223 nfi-a regulatory granulocytic factors differentiation involving circuitry controlled show | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1423_EVAL | Citance Number: 1 | Citation Text: member form events bcl-xl interaction bcl-2 independently additional bax family participate directly | Reference Offset: [28392-28543', 397-552', 710-942'] | Reference Text: bak bcl-xl preferential interaction assays antiapoptotic prior bcl-2 proapoptotic bax binding bim intact bak kill mitochondria bcl-2 proapoptotic family bax require release members cytochrome bak characterized domains bh3 bad mitochondrial antiapoptotic resulting subset activate bcl-2 binds bax initiate displacement bik peptides directly | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1415_TRAIN | Citance Number: 19 | Citation Text: mice c-raf inhibits lung model ablation ras-driven development adenocarcinoma progression tumors | Reference Offset: [4364-4560', 4169-4362', 9143-9331'] | Reference Text: model ablation resulted tumor tumors regulatory encoding subunits reduction developed prevents mutation tumors interaction ras mice lung subunit carrying significantly likewise erk2 tumors mice lung due derived detected | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1428_EVAL | Citance Number: 6 | Citation Text: erk guanine nucleotide aspects lead long ras distinct gtpases activated effectors multiple exchange activation mitogenic pathway contribute transformation phosphoinositide-3 kinases implicated signaling factors ral survival small rac raf/mek/erk | Reference Offset: [1348-1508', 2667-2995', 364-526'] | Reference Text: guanine nucleotide ras phosphoinositide-3 kinases gtpases factors ral effectors raf small multiple exchange rac gtpase guanine gdp state nucleotide hydrolysis gtp response gtpases exchange formation extracellular effects signals signaling factors promote active small bound deficient gtpase activates guanine nucleotide factor ralgds investigate mice signaling ral generated small exchange | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1425_EVAL | Citance Number: 4 | Citation Text: treatment cml patients respond crisis develop phase | Reference Offset: [5160-5358', 5908-6284', 1750-1952'] | Reference Text: mutations blast chronic cml response patients initial imatinib myeloid crisis detected phase clones mutations blast provide treatment evidence selection observations prior independent kinase patients additional domain myeloid imatinib-resistant crisis develop detected multiple mutations frequency disease cml stages present kinase patients imatinib domain resistance bcr-abl develop | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1419_TRAIN | Citance Number: 2 | Citation Text: complex basis treatment agents diseases response patient developing targets drug information patterns subsequent translational signatures molecular research variety include transcriptional lines discovery design | Reference Offset: [4030-4265', 35125-35312', 40834-41074'] | Reference Text: subtypes defined genes subsequent molecular distinct targeted rearrangements leukemia genetically chromosomal tyrosine kinase therapeutic receptor agents genes developed targets treatment pediatric molecular outcome database generated leukemia detailed profiles | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1429_EVAL | Citance Number: 15 | Citation Text: untreated total k-ras cultures dependent phosphorylated good recent mitochondrial confirmed membrane pkc-dependent suggesting portion plasma localization serine conditions steady-state 181 outer fibroblast translocation group phosphorylation | Reference Offset: [4423-4576', 21631-21971', 36352-36535'] | Reference Text: surprisingly k-ras membranes outer membrane bcl-xl phosphorylated included mitochondrial k-ras localization apoptosis phosphorylated affect mitochondrial mutants mitochondria viability sequence c-terminal suggesting golgi required k-ras basis phosphorylated affinity mitochondrial presence outer membrane reflect | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1415_TRAIN | Citance Number: 20 | Citation Text: c-raf essential development recently k-ras-driven nsclcs | Reference Offset: [24569-24645', 27115-27183', 45308-45463'] | Reference Text: c-raf essential mediate signaling oncogenic nsclcs c-raf essential development tumor essential ras-driven pathway development maintenance recently tumors | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1425_EVAL | Citance Number: 9 | Citation Text: point mutations similarly treatment imatinib occurring bcr-abl | Reference Offset: [28400-28631', 495-757', 857-1066'] | Reference Text: selective mutations collectively treatment capable cml kinase imatinib domain resistance bcr-abl natural occur mutations chronic sequencing disease samples response tyrosine kinase patients initial imatinib bone leukemia domain myeloid bcr-abl inhibitor marrow amino mutations conformational state prevent contact alter inactive imatinib binding bcr-abl directly required | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1420_EVAL | Citance Number: 15 | Citation Text: cases activating translocations deletion tal1/scl t-all factors oncogenic undefined chromosomal overexpressed mechanisms transcription | Reference Offset: [10994-11239', 33705-33939', 2015-2335'] | Reference Text: cases genes possibility alternative factor express transformation oncogenic mechanisms transcription thymocyte patterns alternative signatures samples related lacking t-all factors leading oncogenes predict initiate oncogenic activation transcription aberrant methods obtained genes rt-pcr disease rearrangements transforming dna event clinical hypothesis central key activation transcription support absence factor samples analyze t-all combination microarray chromosomal | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1415_TRAIN | Citance Number: 15 | Citation Text: erk lung kras-driven essential importantly tumorigenesis recently nsclcs phosphorylation | Reference Offset: [5249-5420', 5589-5668', 9603-9753'] | Reference Text: erk essential development mutations tumor kinases investigate mice carrying encoding raf end mek erk individual prevent nsclcs kinases erk change downstream finally erk2 phosphorylation erk1 substrate well-known | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1415_EVAL | Citance Number: 16 | Citation Text: events mirnas network extensive findings search differential binding knockdown based transcription | Reference Offset: [27593-27930', 9491-9684', 31041-31248'] | Reference Text: direct effects mirnas transcriptional factors binding proposed suggesting participate es based targets transcription vertebrates sites limited events identify mirna factor imperfect start transcripts primary binding ability transcription post-transcriptional contribute mirnas network transcriptional factors regulation core es transcription | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1407_TRAIN | Citance Number: 9 | Citation Text: lats2 centrosomes lats1 interphase detected mitotic | Reference Offset: [27361-27668', 461-559', 27670-27790'] | Reference Text: lats2 reports aurora-a previous interphase mitotic localized centrosomes early mitosis lats2 lats1 apparatus phosphorylated mitotic localized centrosomes lats2 confirmed interphase | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1401_EVAL | Citance Number: 4 | Citation Text: oxidative metabolism disruption accumulation mitochondrial conditions cytotoxic free leads radicals regulation depletion energy | Reference Offset: [491-687', 6393-6624', 20554-20840'] | Reference Text: metabolism evidence link theory growing mitochondrial free radical formation aging ros generate oxidative controlled potential mitochondrial process membrane phosphorylation generation energy sensitivity oxidative damage production mitochondrial mitochondria leads led dna initial increase | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1417_TRAIN | Citance Number: 14 | Citation Text: inactivation gtpase guanine nucleotide state hydrolysis gtp gefs gaps gtpases factors small bound activation exchange regulators key | Reference Offset: [487-668', 670-824', 1398-1605'] | Reference Text: cellular functions gtpase-activating factors guanine nucleotide-binding nucleotide small exchange regulate catalyzing gdp hydrolysis gtp gefs general gaps signaling exchange inducing cycle catalytic essential provide induce gdp hydrolysis gtp gefs abundant gaps highly regulated group release bound | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1411_EVAL | Citance Number: 23 | Citation Text: constructs p53kd shrna | Reference Offset: [6901-7159', 10872-11136', 12016-12111'] | Reference Text: mcf-7 p53 constructs prb transient sirna active inhibit assays prs-gfp constructs hela transient sirna retroviral assays produced vectors cloned p16ink4a active prs-hyg viral p14arf constructs hela sirna prs-hygro | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1419_EVAL | Citance Number: 13 | Citation Text: u937 hl-60 ester phorbol days terminal differentiation method stimulate 100 | Reference Offset: [24614-24723', 12080-12220', 13014-13172'] | Reference Text: ester phorbol terminal undergo leukemia differentiation lines stimulate u937 terminal pathway differentiation u937 days treatment leukemia differentiate induced lines | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1417_TRAIN | Citance Number: 16 | Citation Text: catalyzing opposite controlled switch gtp steps gefs gaps small | Reference Offset: [670-824', 1398-1605', 5822-5937'] | Reference Text: catalyzing gdp hydrolysis gtp gefs general gaps signaling exchange inducing cycle catalytic essential provide induce gdp hydrolysis gtp gefs abundant gaps highly regulated group release bound gaps regulated molecular small mechanisms gefs | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1406_TRAIN | Citance Number: 15 | Citation Text: biochemistry transduction understanding tumors signal time phenotypes operate formed case years cancer circuits | Reference Offset: [4653-4824', 13869-13964', 42234-42436'] | Reference Text: surrounding basis operate microenvironment circuits signals signaling majority operate tumors growth mouse appearance tumorigenesis tumors prior models lesions analyzed activated case | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1427_EVAL | Citance Number: 1 | Citation Text: bcl-2 proapoptotic and/or activated bcl-xl tumor depends survival mcl-1 antiapoptotic | Reference Offset: [523-714', 1607-1874', 7547-7671'] | Reference Text: unique domains bcl-xl bh3 show interaction antiapoptotic bcl-w bcl-2 pattern peptides bh3-only derived mcl-1 cellular individual bcl-xl show mitochondrial antiapoptotic bcl-w response bcl-2 family peptides mcl-1 based members bcl-w bcl-2 transfected bcl-xl fusion mcl-1 antiapoptotic | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1421_EVAL | Citance Number: 9 | Citation Text: mutations exclusively absence hela interestingly ptap motif structures localized hiv-1 wild-type pm mutant | Reference Offset: [991-1101', 1705-1854', 3000-3204'] | Reference Text: hiv-1 arrest vps4 budding sorting inhibit negative mutant dominant particle hiv-1 gag absence required viral production proteolytic residues p6 single mutations substitutions shows caused free hiv-1 tsg101 binding energy | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1420_EVAL | Citance Number: 11 | Citation Text: lymphoblastic defined lyl1 upregulation phenotype acute prognosis t-cell subtype leukemia linked | Reference Offset: [1806-2013', 3004-3148', 1281-1501'] | Reference Text: subtypes lymphoblastic lineage line pathogenesis molecular research impact leukemias acute remain undefined largely leukemia lymphoblastic cases thymocytes pediatric leukemia adult disease malignant acute lyl1 treatment tal1 prognosis response surprisingly findings importance significantly clinical activation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1412_EVAL | Citance Number: 5 | Citation Text: tyrosine ptpn12 receptor contexts tumor recent kinases | Reference Offset: [1633-1885', 884-981', 1214-1342'] | Reference Text: ptpn12 targeting provide collectively identify suppressor tumor cancers kinases tyrosine inactivated based profile tyrosine screen ptpn12 genetic identify suppressor phosphatase tumor her2 tyrosine ptpn12 oncogenic suppresses inhibiting interacting multiple transformation egfr kinases | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1404_EVAL | Citance Number: 8 | Citation Text: interestingly revealed 22 destruction damage enhanced nonstressed p53 dna cdc6 manner regulated | Reference Offset: [1138-1253', 31885-32010', 18191-18277'] | Reference Text: complex p53 dna cdc6 damage destruction anaphase-promoting show enhanced activation licensing dna cdt1 interestingly destruction damage manner factor p53-independent induces dna mediated ligase cdc6 damage destruction enhanced apccdh1 | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1424_EVAL | Citance Number: 12 | Citation Text: site termed complex apc immunological synapse contact large induces formation | Reference Offset: [1651-1922', 3090-3185', 3816-3977'] | Reference Text: limited interaction contact affinity sufficient ligands order tcr antigen tight low formation critical area cytoskeletal polarity contact formation binds ligands area range cd2 adhesion participate molecule contact formation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1414_EVAL | Citance Number: 2 | Citation Text: inhibits radixin mir-31 metastasis repression tumor phenotype rhoa targets | Reference Offset: [31549-31866', 967-1056', 4605-4776'] | Reference Text: spectrum metastatic metastasis effects rhoa colonization impact suppression mir-31 metastases repression formed multiple targets breast mir-31 suppresses metastasis overexpression tumor acts identify mirna steps invasion-metastasis cascade mir-31 repression multiple targets | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1411_EVAL | Citance Number: 17 | Citation Text: cloned targeting vector sequence retroviral produce | Reference Offset: [10872-11136', 5295-5429', 7161-7453'] | Reference Text: prs-gfp constructs hela transient sirna retroviral assays produced vectors cloned p16ink4a active prs-hyg viral p14arf vectors selected 10 days sirna retroviral virus ecotropic selected subsequently receptor vector fibroblasts encoding polyclonal drug population | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1414_TRAIN | Citance Number: 8 | Citation Text: apoptosis anticancer strategy good targeted bcl-2 promote family discovery members drug | Reference Offset: [3520-3746', 2963-3241', 2861-2961'] | Reference Text: bak apoptosis death interaction express related bcl-2 proapoptotic family and/or bax multidomain key members death bcl-xl bh3 interaction related bcl-w short bcl-2 ligands family domain bh3-only mcl-1 members bcl-2 apoptosis family interacting key regulators | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1418_TRAIN | Citance Number: 5 | Citation Text: sufficient leads k-ras progression established regression tumors tumor mutant malignant | Reference Offset: [2202-2525', 6491-6686', 6184-6489'] | Reference Text: kras mutations loss progression metastatic disease occurs acquisition suppressors intraepithelial tp53 cases activating subsequent tumor malignant pancreatic invasive oncogene early neoplasia progression maintenance tumor malignant p53 advanced conditional model progression events induction pdac tumor comparable long biological leads additional genetic invasive suggesting | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1430_EVAL | Citance Number: 15 | Citation Text: kras provide epithelial alternative phenotype signals suggesting mesenchymal pathways disrupted survival | Reference Offset: [709-913', 12560-12728', 13539-13666'] | Reference Text: primary revealed well-differentiated epithelial tumors phenotype cancer signature dependency k-ras demonstrate induction epithelial possibility phenotype affect findings support strong differentiation link epithelial survival cancer | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1407_TRAIN | Citance Number: 7 | Citation Text: deletion cycle kinase progression and/or examined anaphase cerevisiae telophase affect | Reference Offset: [27985-28270', 3531-3754', 6020-6170'] | Reference Text: cycle synchronized interphase block anaphase telophase fixed released transfected phase events interphase anaphase telophase considered involved chromosomal nucleus cycle aurora-a genomic crucial progression maintenance mammalian stability observations | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1420_EVAL | Citance Number: 2 | Citation Text: demonstrated samples t-all transcripts leukemia microarray decrease | Reference Offset: [2015-2335', 25339-25435', 5763-6077'] | Reference Text: aberrant methods obtained genes rt-pcr disease rearrangements transforming dna event clinical hypothesis central key activation transcription support absence factor samples analyze t-all combination microarray chromosomal t-all activated oncogene microarray discovery samples reverse cases pediatric pcr translocations locus-specific samples transcriptase analyze t-all oncogene quantitative acting hypothesis | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1420_EVAL | Citance Number: 6 | Citation Text: mutations conserved cortical stage arrest dna highly homeodomain interactions thymocyte differentiation maturation variety t-all involved additional genetic subtype profiles early | Reference Offset: [14622-14866', 16000-16133', 17082-17348'] | Reference Text: cases genes normal differentiation cortical stage showed undergoing pattern early thymocyte t-all recognized differentiation profiles samples stages thymocyte differentiation cd2 cortical upregulation tal1 stage contrast lck pattern late reflect appeared thymocyte | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1417_TRAIN | Citance Number: 9 | Citation Text: lower affinities gtpase activating guanine higher nucleotide hydrolysis stimulate factor gtp contrast require ras-like small exchange | Reference Offset: [7503-7721', 487-668', 670-824'] | Reference Text: contrast lower affinities nucleotide factor exchange cellular functions gtpase-activating factors guanine nucleotide-binding nucleotide small exchange regulate catalyzing gdp hydrolysis gtp gefs general gaps signaling exchange inducing | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1418_EVAL | Citance Number: 12 | Citation Text: residues hydrophobic ethynyl lead pdgfr steric tyrosine fgfr family src kit potent spectrum gatekeeper predicted minimize vegfr kinases inhibits inhibitor clash threonine | Reference Offset: [23874-24025', 9519-9663', 24241-24419'] | Reference Text: residues hydrophobic gatekeeper ap24534 predicted minimize general steric inhibitor clash tyrosine fgfr receptor ap24534 src inhibited families pdgfr vegfr members kinases range ap24534 potential pdgfr vegfr variety cancers kinases fgfr family src targets | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1415_TRAIN | Citance Number: 18 | Citation Text: mice ablation apoptosis lethality erk2 mek1 adult vivo | Reference Offset: [9916-10007', 28092-28158', 30401-30569'] | Reference Text: mice impairs development lethality tumor adult induces kinases mice c-raf ablation adult widespread c-raf ablation adult mice concomitant conditional investigated mutant | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1405_EVAL | Citance Number: 3 | Citation Text: screen rnai mediator necrosis rip3 recent genome-wide | Reference Offset: [815-1123', 4029-4204', 43242-43570'] | Reference Text: screen apoptosis set genes identify sirna rip1 necroptosis subset kinase involved and/or downstream act required genome-wide regulators regulate screen genes functional sirna mechanism molecular necroptosis carrying required explored genome-wide screen genes set global sirna necroptosis involved examined genome-wide | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1411_TRAIN | Citance Number: 8 | Citation Text: mir-223 unique nfi-a mechanism demonstrated recent factors proposed myeloid transcription | Reference Offset: [622-782', 784-1003', 5206-5544'] | Reference Text: transcriptional mir-223 nfi-a regulatory granulocytic factors differentiation involving circuitry controlled show retinoic mir-223 nfi-a differentiation -induced factors acid binding low mir-223 computational nfi-a genes sequences factor putative related involved binding bind targets growth transcription | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1429_EVAL | Citance Number: 1 | Citation Text: cellular k-ras plasma isoforms h-ras ras distinct mitochondria membrane mammalian pathways acting golgi intracellular compartments | Reference Offset: [747-1019', 15372-15638', 611-745'] | Reference Text: region promotes k-ras membranes association bcl-xl show interacts rapid mitochondria polybasic kinase outer membrane pm intracellular phosphorylation region k-ras hypervariable predicted phosphorylated polybasic sequence c-terminal apparatus golgi intracellular compartments polybasic functions k-ras plasma membrane sequence | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1414_EVAL | Citance Number: 16 | Citation Text: microrna breast suppression inhibits concurrent mir-31 invasion effectors mesenchymal key cancer | Reference Offset: [818-965', 10494-10714', 15045-15197'] | Reference Text: breast patients mir-31 identify metastasis correlates microrna cancer unique proliferation affect anoikis breast reduced mir-31 motility invasion resistance aggressive cancer suppression viability 20-fold mir-31 motility invasion inhibitor enhanced | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1419_TRAIN | Citance Number: 13 | Citation Text: tel-aml1-positive cases receptor classification higher b-all | Reference Offset: [14713-14824', 19188-19541', 3756-4028'] | Reference Text: subtypes figure cases genetic b-all genes classified chimeric subset mll characterized cases lineage t-all hyperdiploid presence classification bcr-abl subtypes individual pathogenesis variety figure genetic classification leukemia parameters clinical alterations 2001 | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1402_TRAIN | Citance Number: 12 | Citation Text: extracellular absence immortal matrix proliferate | Reference Offset: [6499-6673', 16326-16612', 6675-6989'] | Reference Text: screen extracellular absence matrix proliferate extracellular surface proliferation loss induce matrix endogenous alter response signaling reduced suggesting culture interactions single anchorage-independent pathway demonstrated recent transformation experiments genetic event ectopic proliferate manner suggesting mutant ability | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1408_EVAL | Citance Number: 10 | Citation Text: gfp shrnas expressing hela vectors level reduced mrna lines act shrna sirnas | Reference Offset: [9796-9933', 7075-7235', 833-1024'] | Reference Text: suppression level p53 reduced mrna vectors constructs transcripts failed transient suppress sirnas mediates stable suppression time phenotypes loss-of-function vector develop sirnas | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1406_TRAIN | Citance Number: 8 | Citation Text: telomerase htert percentage common immortalized events 2002 tumor show suggested 1996 cancer key | Reference Offset: [7046-7187', 13389-13732', 32947-33245'] | Reference Text: stimulation reduced show tumor growth exogenous understand proliferation deregulation normal play endothelial tumor present apparent roles fibroblasts key contributions growth essential development progression immortalized state potential tumor phenotype malignant acquired suggesting types culture vivo growth | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1405_TRAIN | Citance Number: 14 | Citation Text: | Reference Offset: [452-588', 590-800', 802-1086'] | Reference Text: characterized features highly differentiate stem types ability oct4 essential lineage differentiation state embryonic factor adult implicated mediator stem homeodomain cancer transcription networks facilitate oct4 repressing lineage genes differentiation maintain recent transcriptional dual regulatory description pluripotency required self-renewal activation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1403_TRAIN | Citance Number: 9 | Citation Text: response arrest underwent fibroblasts predicted 1999 ras | Reference Offset: [10089-10222', 19622-19852', 26656-26811'] | Reference Text: arrest program fibroblasts onset conserved rodent ras phase induces prior ras-induced ras mice response independent p53 arrest oncogenic identical wild-type contribution derived response cellular aberrant arrest signaling ras-induced ras outcome observations | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1419_TRAIN | Citance Number: 8 | Citation Text: lymphoblastic unique support cases recent leukemias distinct provided chromosomal hypothesis large | Reference Offset: [7855-8044', 4030-4265', 11251-11396'] | Reference Text: subtypes cases assigned collection leukemias heterogeneous profile distinct subtypes defined genes subsequent molecular distinct targeted rearrangements leukemia genetically chromosomal defined cases genes distinct mll t-all hyperdiploid bcr-abl | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1425_EVAL | Citance Number: 2 | Citation Text: suggests mutations report approach bcr-abl imatinib-resistant initiation therapy recent effective prior | Reference Offset: [28180-28347', 9869-9966', 20964-21136'] | Reference Text: mutations prior t315i exhibited patient dna sequence initiation bcr-abl therapy kinase mutations imatinib detailed domain bcr-abl disease therapy prior mutations state mechanism properties disease prior kinase imatinib domain resistance proposed bcr-abl therapy | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1404_EVAL | Citance Number: 3 | Citation Text: p53 replicating cdc6 increase reversed downregulation knockdown | Reference Offset: [1427-1556', 11065-11269', 19534-19766'] | Reference Text: demonstrate p53 loss replicating cdc6 reversed damage factor demonstrating showed stabilized p53 dna activated target increase transcription mcf-7 targeting constructs destruction p53 transfected cdc6 knockdown required p27kip1 | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1412_EVAL | Citance Number: 6 | Citation Text: breast her2 ptpn12 signaling recently rtks inhibiting tumors mapk egfr | Reference Offset: [18924-18976', 1214-1342', 1956-2297'] | Reference Text: her2 ptpn12 signaling suppresses mapk egfr her2 tyrosine ptpn12 oncogenic suppresses inhibiting interacting multiple transformation egfr kinases ptpn12 suppresses inhibitors egfr tyrosine kinase oncogenic treated inactivated multiple frequently her2 tumorigenesis metastasis transformation kinases breast inhibits phosphatase negative cancer | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1408_TRAIN | Citance Number: 6 | Citation Text: methods region duplexes single mirna regions imperfect search complementarity pairing end sophisticated near-perfect site extend seed mrna target | Reference Offset: [4009-4269', 632-862', 5036-5117'] | Reference Text: near-perfect unique mirna mirnas 13 families search complementarity targets region sites genes conserved mirna mirnas regulatory mrnas predict complementary target pairing near-perfect analogous search pairing mirnas | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1401_EVAL | Citance Number: 12 | Citation Text: ros oxidative excess mitochondria reduced term generally atp synthesis phosphorylation generation | Reference Offset: [16786-17004', 6393-6624', 12437-12664'] | Reference Text: obtained ros observation oxidative resulted mitochondria reduction consistent phosphorylation generation early ros generate oxidative controlled potential mitochondrial process membrane phosphorylation generation energy ros oxidative production mitochondria chain increase approach phosphorylation based cytochrome | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1404_EVAL | Citance Number: 5 | Citation Text: implicated firing regulating pathway origin 13 12 | Reference Offset: [1030-1136', 1899-2115', 2903-3013'] | Reference Text: licensing complex p53 pathway target cdc6 factor complex recognition loading maintenance origin factor putative cdt1 origins cdc6 g1 led loss association cdc6 origin mcm | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1409_EVAL | Citance Number: 10 | Citation Text: mutations pathway epithelial cancers altered signaling dna genetic pi3k activated components mechanisms alterations multiple frequently copy | Reference Offset: [2203-2488', 3264-3589', 1717-1978'] | Reference Text: systems model mutations spectrum pathway neoplastic lead transformation cancers loss-of-function components contributes loss metastasis tumors indicating variety cancers mice deletion signaling pi3k cancer formation frequently pten cellular aberrant proliferation progression apoptosis genes suppressor epithelial tumor tumors resulting oncogenes alterations generation multiple | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1401_TRAIN | Citance Number: 16 | Citation Text: proliferation development remains apoptosis metastasis tumor influences mirnas affect exert potentially extent and/or primary unclear specifically | Reference Offset: [935-1177', 9657-9902', 29624-29847'] | Reference Text: cellular screen harbor proliferation tumorigenesis ras mirnas transformation mir-373 p53 oncogenes oncogenic primary wild-type active mir-372 development identify rasv12 tumor contribute mirnas process subsequently vector fibroblasts cellular development proliferation suppressor tumor homolog promising deletion kinase large tumorigenic | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1420_TRAIN | Citance Number: 4 | Citation Text: mice kras-driven selective inhibitors gata2 finally nsclcs pathways regulated combined | Reference Offset: [6830-7115', 1323-1482', 1700-2032'] | Reference Text: causing kras loss therapeutic inhibitors inhibition strategy established finally clinically combined suppression nsclc gata2 pathways mutant inhibitors tumor clinically caused combined suppression approved gata2 pathways kras reveal loss suppresses tumors non-small network pathways drug essential inhibition tumor combined models transcriptional lung nsclc gata2 chip-seq mutant cancer growth | Discourse Facet: | Run ID: BLLIP 1
